Timestamp,Umidade,Temp1,Temp2
2025/12/06 16:00:42;66,00;34,21;35,22
2025/12/06 16:05:43;66,00;34,70;36,20
2025/12/06 16:10:45;61,00;33,72;34,74
2025/12/06 16:15:46;62,00;36,17;37,18
2025/12/06 16:20:47;64,00;37,15;38,65
2025/12/06 16:25:48;64,00;35,68;37,18
2025/12/06 16:30:49;65,00;33,24;34,25
2025/12/06 16:35:51;62,00;33,72;34,25
2025/12/06 16:40:52;64,00;32,26;33,76
2025/12/06 16:45:53;63,00;32,75;33,76
2025/12/06 16:50:54;61,00;32,75;33,76
2025/12/06 16:55:56;60,00;32,75;33,27
2025/12/06 17:00:57;61,00;32,26;32,78
2025/12/06 17:05:58;59,00;32,26;32,29
2025/12/06 17:10:59;63,00;32,26;32,29
2025/12/06 17:15:30;62,00;32,26;32,29
2025/12/06 17:20:32;62,00;32,26;31,80
2025/12/06 17:25:33;62,00;31,77;31,31
2025/12/06 17:30:34;58,00;31,77;31,31
2025/12/06 17:35:35;58,00;31,77;31,80
2025/12/06 17:40:37;57,00;31,77;31,31
2025/12/06 17:45:38;57,00;31,77;31,31
2025/12/06 17:50:39;57,00;32,75;32,29
2025/12/06 17:55:41;57,00;32,75;32,29
2025/12/06 18:00:42;57,00;32,26;31,80
2025/12/06 18:05:43;57,00;31,77;31,31
2025/12/06 18:10:44;57,00;31,28;30,83
2025/12/06 18:15:46;57,00;31,28;30,34
2025/12/06 18:20:47;56,00;30,79;30,34
2025/12/06 18:25:48;56,00;30,79;29,85
2025/12/06 18:30:49;56,00;30,30;29,85
2025/12/06 18:35:51;56,00;30,79;30,34
2025/12/06 18:40:52;55,00;30,79;30,34
2025/12/06 18:45:53;55,00;30,79;30,34
2025/12/06 18:50:55;55,00;30,30;29,85
2025/12/06 18:55:56;55,00;30,30;29,36
2025/12/06 19:00:57;55,00;30,30;29,36
2025/12/06 19:05:59;54,00;29,81;28,87
2025/12/06 19:10:30;53,00;29,81;28,87
2025/12/06 19:15:31;54,00;29,33;28,87
2025/12/06 19:20:32;53,00;29,33;28,38
2025/12/06 19:25:34;53,00;29,33;28,38
2025/12/06 19:30:35;54,00;29,33;27,89
2025/12/06 19:35:36;53,00;28,84;27,89
2025/12/06 19:40:38;54,00;28,84;27,40
2025/12/06 19:45:39;53,00;28,35;27,40
2025/12/06 19:50:41;54,00;28,35;27,40
2025/12/06 19:55:42;53,00;27,86;26,92
2025/12/06 20:00:44;52,00;27,86;26,43
2025/12/06 20:05:45;52,00;27,37;26,43
2025/12/06 20:10:46;52,00;27,37;25,94
2025/12/06 20:15:48;52,00;26,88;25,45
2025/12/06 20:20:49;52,00;26,88;25,45
2025/12/06 20:25:51;52,00;26,88;25,45
2025/12/06 20:30:52;52,00;26,88;25,45
2025/12/06 20:35:54;51,00;26,39;24,96
2025/12/06 20:40:55;51,00;25,90;24,96
2025/12/06 20:45:57;51,00;25,90;24,96
2025/12/06 20:50:58;51,00;26,39;24,96
2025/12/06 20:55:59;51,00;26,39;24,96
2025/12/06 21:00:31;51,00;25,90;24,96
2025/12/06 21:05:32;50,00;25,90;24,96
2025/12/06 21:10:34;50,00;25,90;24,96
2025/12/06 21:15:35;50,00;25,90;24,96
2025/12/06 21:20:37;50,00;25,90;24,96
2025/12/06 21:25:38;50,00;25,90;24,96
2025/12/06 21:30:40;49,00;25,90;24,47
2025/12/06 21:35:41;51,00;25,42;24,47
2025/12/06 21:40:43;51,00;25,42;24,47
2025/12/06 21:45:44;49,00;25,42;24,47
2025/12/06 21:50:46;47,00;25,42;23,98
2025/12/06 21:55:47;49,00;25,42;23,98
2025/12/06 22:00:49;50,00;25,42;24,47
2025/12/06 22:05:50;48,00;25,42;23,98
2025/12/06 22:10:52;50,00;25,42;24,47
2025/12/06 22:15:53;48,00;25,42;23,98
2025/12/06 22:20:54;49,00;25,42;23,98
2025/12/06 22:25:56;48,00;24,93;23,98
2025/12/06 22:30:58;49,00;24,93;23,98
2025/12/06 22:35:59;48,00;24,93;23,98
2025/12/06 22:40:30;50,00;24,93;23,98
2025/12/06 22:45:32;48,00;24,93;23,49
2025/12/06 22:50:34;47,00;24,44;23,49
2025/12/06 22:55:35;50,00;24,44;23,49
2025/12/06 23:00:37;51,00;24,44;23,49
2025/12/06 23:05:38;47,00;24,93;23,49
2025/12/06 23:10:39;48,00;24,93;23,49
2025/12/06 23:15:41;50,00;24,93;23,98
2025/12/06 23:20:42;50,00;24,93;23,49
2025/12/06 23:25:44;50,00;24,93;23,49
2025/12/06 23:30:45;49,00;24,93;23,49
2025/12/06 23:35:47;49,00;24,93;23,49
2025/12/06 23:40:48;48,00;24,44;23,49
2025/12/06 23:45:50;48,00;24,44;23,01
2025/12/06 23:50:51;48,00;24,44;23,01
2025/12/06 23:55:53;47,00;23,95;22,52
2025/12/07 00:00:54;47,00;23,95;22,52
2025/12/07 00:05:56;47,00;23,95;22,52
2025/12/07 00:10:57;47,00;23,95;22,52
2025/12/07 00:15:59;47,00;23,95;22,52
2025/12/07 00:20:30;45,00;23,46;22,03
2025/12/07 00:25:32;47,00;22,97;22,03
2025/12/07 00:30:33;47,00;22,97;21,54
2025/12/07 00:35:35;48,00;22,48;21,54
2025/12/07 00:40:36;47,00;22,97;21,54
2025/12/07 00:45:38;47,00;22,97;21,54
2025/12/07 00:50:39;47,00;22,97;21,54
2025/12/07 00:55:41;47,00;22,48;21,54
2025/12/07 01:00:42;47,00;22,48;22,52
2025/12/07 01:05:44;46,00;22,97;21,54
2025/12/07 01:10:46;46,00;22,48;21,05
2025/12/07 01:15:47;46,00;22,48;21,05
2025/12/07 01:20:49;45,00;22,48;21,05
2025/12/07 01:25:50;45,00;22,48;21,05
2025/12/07 01:30:52;45,00;22,48;21,05
2025/12/07 01:35:53;45,00;21,99;21,05
2025/12/07 01:40:55;44,00;21,99;21,05
2025/12/07 01:45:56;44,00;22,48;21,05
2025/12/07 01:50:58;43,00;22,48;21,05
2025/12/07 01:55:59;47,00;22,48;21,05
2025/12/07 02:00:31;47,00;22,48;21,05
2025/12/07 02:05:32;47,00;21,51;20,56
2025/12/07 02:10:34;47,00;21,99;20,56
2025/12/07 02:15:35;46,00;21,99;20,56
2025/12/07 02:20:37;46,00;21,51;20,56
2025/12/07 02:25:38;45,00;21,51;20,56
2025/12/07 02:30:40;46,00;21,51;20,56
2025/12/07 02:35:41;46,00;21,99;21,05
2025/12/07 02:40:43;45,00;21,51;20,56
2025/12/07 02:45:44;44,00;21,51;20,56
2025/12/07 02:50:46;46,00;21,51;20,56
2025/12/07 02:55:47;45,00;21,51;20,07
2025/12/07 03:00:49;45,00;21,51;20,56
2025/12/07 03:05:50;44,00;21,51;20,56
2025/12/07 03:10:52;44,00;21,51;20,56
2025/12/07 03:15:53;44,00;21,51;20,56
2025/12/07 03:20:55;44,00;21,99;21,05
2025/12/07 03:25:56;44,00;21,99;21,05
2025/12/07 03:30:58;44,00;21,51;20,56
2025/12/07 03:35:59;44,00;21,51;20,56
2025/12/07 03:40:31;44,00;21,02;20,07
2025/12/07 03:45:32;44,00;21,02;20,07
2025/12/07 03:50:34;44,00;21,02;20,07
2025/12/07 03:55:35;45,00;21,02;20,07
2025/12/07 04:00:37;44,00;21,02;20,07
2025/12/07 04:05:38;44,00;21,02;20,07
2025/12/07 04:10:40;44,00;21,51;20,56
2025/12/07 04:15:41;44,00;21,51;20,56
2025/12/07 04:20:43;43,00;21,51;20,56
2025/12/07 04:25:44;43,00;21,99;20,56
2025/12/07 04:30:46;43,00;21,51;20,56
2025/12/07 04:35:48;44,00;21,02;20,07
2025/12/07 04:40:49;44,00;21,02;20,07
2025/12/07 04:45:51;43,00;21,02;20,07
2025/12/07 04:50:52;43,00;21,51;20,56
2025/12/07 04:55:54;42,00;21,51;20,56
2025/12/07 05:00:56;44,00;21,51;20,56
2025/12/07 05:05:57;43,00;21,02;20,07
2025/12/07 05:10:59;43,00;21,02;20,07
2025/12/07 05:15:30;43,00;21,02;20,07
2025/12/07 05:20:32;43,00;20,53;19,58
2025/12/07 05:25:33;42,00;21,02;20,07
2025/12/07 05:30:35;43,00;20,53;19,58
2025/12/07 05:35:36;43,00;20,53;19,58
2025/12/07 05:40:38;43,00;20,53;19,58
2025/12/07 05:45:39;43,00;20,53;19,58
2025/12/07 05:50:41;43,00;20,04;19,10
2025/12/07 05:55:42;42,00;20,04;18,61
2025/12/07 06:00:44;42,00;20,53;19,10
2025/12/07 06:05:45;43,00;20,04;19,10
2025/12/07 06:10:47;44,00;20,53;19,58
2025/12/07 06:15:48;42,00;20,53;19,58
2025/12/07 06:20:50;42,00;20,04;19,10
2025/12/07 06:25:51;42,00;20,04;19,10
